,idx,word,pos
897,42,enamored,VBN
898,42,with,IN
899,42,it,PRP
900,42,.,.
901,43,On,IN
902,43,the,DT
903,43,surface,NN
904,43,you,PRP
905,43,could,MD
906,43,easily,RB
907,43,mistake,VB
908,43,the,DT
909,43,SE,NNP
910,43,for,IN
911,43,that,DT
912,43,three,CD
913,43,-,HYPH
914,43,year,NN
915,43,-,HYPH
916,43,old,JJ
917,43,model,NN
918,43,with,IN
919,43,its,PRP$
920,43,design,NN
921,43,",",","
922,43,home,NN
923,43,button,NN
924,43,and,CC
925,43,bezel,NNS
926,43,frame,NN
927,43,.,.
928,44,The,DT
929,44,design,NN
930,44,of,IN
931,44,the,DT
932,44,phone,NN
933,44,is,VBZ
934,44,going,VBG
935,44,to,TO
936,44,be,VB
937,44,familiar,JJ
938,44,to,IN
939,44,anyone,NN
940,44,that,WDT
941,44,’s,VBZ
942,44,used,VBD
943,44,an,DT
944,44,iPhone,NNP
945,44,recently,RB
946,44,–,:
947,44,unless,IN
948,44,you,PRP
949,44,’ve,VB
950,44,not,RB
951,44,held,VBN
952,44,a,DT
953,44,handset,NN
954,44,from,IN
955,44,Apple,NNP
956,44,since,IN
957,44,2013,CD
958,44,then,RB
959,44,you,PRP
960,44,’ll,MD
961,44,have,VB
962,44,seen,VBN
963,44,this,DT
964,44,4.7-inch,CD
965,44,frame,NN
966,44,before,RB
967,44,",",","
968,44,complete,JJ
969,44,with,IN
970,44,bezels,NNS
971,44,top,NN
972,44,and,CC
973,44,bottom,NN
974,44,and,CC
975,44,a,DT
976,44,home,NN
977,44,button,NN
978,44,with,IN
979,44,fingerprint,NN
980,44,scanner,NN
981,44,built,VBN
982,44,in,RP
983,44,.,.
984,45,It,PRP
985,45,also,RB
986,45,lets,VBZ
987,45,Apple,NNP
988,45,polish,VB
989,45,up,RP
990,45,an,DT
991,45,old,JJ
992,45,device,NN
993,45,with,IN
994,45,fresh,JJ
995,45,specs,NNS
996,45,and,CC
997,45,sell,VB
998,45,it,PRP
999,45,as,IN
1000,45,new,JJ
1001,45,.,.
1002,46,It,PRP
1003,46,has,VBZ
1004,46,the,DT
1005,46,same,JJ
1006,46,modem,NN
1007,46,",",","
1008,46,Touch,NNP
1009,46,ID,NNP
1010,46,sensor,NN
1011,46,with,IN
1012,46,NFC,NNP
1013,46,for,IN
1014,46,Apple,NNP
1015,46,Pay,NNP
1016,46,",",","
1017,46,and,CC
1018,46,front,JJ
1019,46,camera,NN
1020,46,as,IN
1021,46,the,DT
1022,46,iPhone,NNP
1023,46,6,CD
1024,46,.,.
1025,47,Solid,JJ
1026,47,battery,NN
1027,47,life,NN
1028,47,.,.
1029,48,Affordable,JJ
1030,48,price,NN
1031,48,.,.
1032,49,The,DT
1033,49,new,JJ
1034,49,iPhone,NNP
1035,49,SE,NNP
1036,49,goes,VBZ
1037,49,on,IN
1038,49,sale,NN
1039,49,in,IN
1040,49,Shanghai,NNP
1041,49,",",","
1042,49,China,NNP
1043,49,.,.
1044,50,It,PRP
1045,50,’s,VBZ
1046,50,now,RB
1047,50,seen,VBN
1048,50,as,IN
1049,50,the,DT
1050,50,‘,``
1051,50,smaller,JJR
1052,50,’,''
1053,50,iPhone,NNP
1054,50,form,NN
1055,50,factor,NN
1056,50,given,VBN
1057,50,the,DT
1058,50,all,DT
1059,50,-,HYPH
1060,50,screen,NN
1061,50,designs,NNS
1062,50,of,IN
1063,50,the,DT
1064,50,more,RBR
1065,50,recent,JJ
1066,50,models,NNS
1067,50,",",","
1068,50,and,CC
1069,50,it,PRP
1070,50,’s,VBZ
1071,50,both,CC
1072,50,more,RBR
1073,50,lightweight,JJ
1074,50,and,CC
1075,50,pocketable,JJ
1076,50,than,IN
1077,50,anything,NN
1078,50,from,IN
1079,50,the,DT
1080,50,iPhone,NNP
1081,50,11,CD
1082,50,range,NN
1083,50,.,.
1084,51,The,DT
1085,51,iPhone,NNP
1086,51,SE,NNP
1087,51,is,VBZ
1088,51,the,DT
1089,51,latest,JJS
1090,51,example,NN
1091,51,",",","
1092,51,but,CC
1093,51,hardly,RB
1094,51,the,DT
1095,51,first,JJ
1096,51,.,.
1097,52,And,CC
1098,52,it,PRP
1099,52,shares,VBZ
1100,52,a,DT
1101,52,processor,NN
1102,52,and,CC
1103,52,rear,JJ
1104,52,camera,NN
1105,52,with,IN
1106,52,the,DT
1107,52,iPhone,NNP
1108,52,6s,NNP
1109,52,(,-LRB-
1110,52,599.99,CD
1111,52,with,IN
1112,52,code,NN
1113,52,VZWDEAL,NNP
1114,52,at,IN
1115,52,Verizon,NNP
1116,52,Wireless,NNP
1117,52,),-RRB-
1118,52,.,.
1119,53,Average,JJ
1120,53,screen,NN
1121,53,.,.
1122,54,Long,JJ
1123,54,battery,NN
1124,54,life,NN
1125,54,so,RB
1126,54,far,RB
1127,54,.,.
1128,55,one,CD
1129,55,of,IN
1130,55,the,DT
1131,55,only,JJ
1132,55,regions,NNS
1133,55,where,WRB
1134,55,Apple,NNP
1135,55,stores,NNS
1136,55,are,VBP
1137,55,currently,RB
1138,55,open,JJ
1139,55,.,.
1140,55,The,DT
1141,55,new,JJ
1142,55,iPhone,NNP
1143,55,SE,NNP
1144,55,goes,VBZ
1145,55,on,IN
1146,55,sale,NN
1147,55,in,IN
1148,55,Shanghai,NNP
1149,55,",",","
1150,55,China,NNP
1151,55,.,.
1152,56,It,PRP
1153,56,’s,VBZ
1154,56,pleasingly,RB
1155,56,water,NN
1156,56,resistant,JJ
1157,56,",",","
1158,56,but,CC
1159,56,does,VBZ
1160,56,have,VB
1161,56,some,DT
1162,56,drawbacks,NNS
1163,56,thanks,NNS
1164,56,to,IN
1165,56,the,DT
1166,56,older,JJR
1167,56,design,NN
1168,56,:,:
1169,56,it,PRP
1170,56,lacks,VBZ
1171,56,a,DT
1172,56,headphone,JJ
1173,56,jack,NN
1174,56,at,IN
1175,56,the,DT
1176,56,bottom,NN
1177,56,",",","
1178,56,and,CC
1179,56,because,IN
1180,56,the,DT
1181,56,display,NN
1182,56,technology,NN
1183,56,is,VBZ
1184,56,slightly,RB
1185,56,dated,VBN
1186,56,(,-LRB-
1187,56,as,IN
1188,56,it,PRP
1189,56,comes,VBZ
1190,56,from,IN
1191,56,the,DT
1192,56,iPhone,NNP
1193,56,8),CD
1194,56,it,PRP
1195,56,can,MD
1196,56,suffer,VB
1197,56,in,IN
1198,56,bright,JJ
1199,56,light,NN
1200,56,when,WRB
1201,56,you,PRP
1202,56,’re,VBP
1203,56,trying,VBG
1204,56,to,TO
1205,56,watch,VB
1206,56,videos,NNS
1207,56,or,CC
1208,56,the,DT
1209,56,like,JJ
1210,56,.,.
1211,57,Apple,NNP
1212,57,took,VBD
1213,57,a,DT
1214,57,similar,JJ
1215,57,approach,NN
1216,57,to,IN
1217,57,the,DT
1218,57,iPhone,NNP
1219,57,8,CD
1220,57,",",","
1221,57,and,CC
1222,57,still,RB
1223,57,sells,VBZ
1224,57,a,DT
1225,57,MacBook,NNP
1226,57,Pro,NNP
1227,57,13,CD
1228,57,with,IN
1229,57,Touch,NNP
1230,57,Bar,NNP
1231,57,that,DT
1232,57,’s,VBZ
1233,57,essentially,RB
1234,57,identical,JJ
1235,57,to,IN
1236,57,the,DT
1237,57,model,NN
1238,57,launched,VBN
1239,57,in,IN
1240,57,2015,CD
1241,57,.,.
1242,58,These,DT
1243,58,components,NNS
1244,58,add,VBP
1245,58,up,RP
1246,58,to,IN
1247,58,a,DT
1248,58,phone,NN
1249,58,that,WDT
1250,58,can,MD
1251,58,run,VB
1252,58,the,DT
1253,58,latest,JJS
1254,58,apps,NNS
1255,58,without,IN
1256,58,complaining,VBG
1257,58,",",","
1258,58,and,CC
1259,58,fits,VBZ
1260,58,into,IN
1261,58,a,DT
1262,58,child,NN
1263,58,'s,POS
1264,58,hand,NN
1265,58,.,.
1266,59,Poor,JJ
1267,59,front,NN
1268,59,-,HYPH
1269,59,facing,VBG
1270,59,camera,NN
1271,59,.,.
1272,60,Great,JJ
1273,60,rear,JJ
1274,60,camera,NN
1275,60,.,.
1276,61,one,CD
1277,61,of,IN
1278,61,the,DT
1279,61,only,JJ
1280,61,regions,NNS
1281,61,where,WRB
1282,61,Apple,NNP
1283,61,stores,NNS
1284,61,are,VBP
1285,61,currently,RB
1286,61,open,JJ
1287,61,.,.
1288,62,Apple,NNP
1289,62,might,MD
1290,62,have,VB
1291,62,stuck,VBN
1292,62,with,IN
1293,62,the,DT
1294,62,same,JJ
1295,62,design,NN
1296,62,as,IN
1297,62,the,DT
1298,62,iPhone,NNP
1299,62,8,CD
1300,62,",",","
1301,62,but,CC
1302,62,the,DT
1303,62,innards,NNS
1304,62,are,VBP
1305,62,much,RB
1306,62,improved,JJ
1307,62,–,:
1308,62,notably,RB
1309,62,the,DT
1310,62,new,JJ
1311,62,A13,NNP
1312,62,Bionic,NNP
1313,62,chipset,NN
1314,62,inside,RB
1315,62,",",","
1316,62,which,WDT
1317,62,adds,VBZ
1318,62,speed,NN
1319,62,nearly,RB
1320,62,everywhere,RB
1321,62,and,CC
1322,62,really,RB
1323,62,does,VBZ
1324,62,improve,VB
1325,62,the,DT
1326,62,performance,NN
1327,62,over,IN
1328,62,the,DT
1329,62,older,JJR
1330,62,4.7-inch,CD
1331,62,models,NNS
1332,62,.,.
1333,63,It,PRP
1334,63,’s,VBZ
1335,63,a,DT
1336,63,polarizing,VBG
1337,63,strategy,NN
1338,63,",",","
1339,63,and,CC
1340,63,the,DT
1341,63,new,JJ
1342,63,iPhone,NNP
1343,63,SE,NNP
1344,63,created,VBD
1345,63,a,DT
1346,63,schism,NN
1347,63,the,DT
1348,63,moment,NN
1349,63,it,PRP
1350,63,was,VBD
1351,63,announced,VBN
1352,63,",",","
1353,63,for,IN
1354,63,all,PDT
1355,63,the,DT
1356,63,usual,JJ
1357,63,reasons,NNS
1358,63,.,.
1359,64,From,IN
1360,64,a,DT
1361,64,design,NN
1362,64,perspective,NN
1363,64,",",","
1364,64,the,DT
1365,64,iPhone,NNP
1366,64,SE,NNP
1367,64,(,-LRB-
1368,64,$,$
1369,64,139.00,CD
1370,64,at,IN
